To Buy,To Sell,Sprets,To Exchange,Price to Buy,Price to Sell
BTC,USDT,-0.002288465762693037,bybit,2327450.16,80.46
ETH,USDT,-0.002498400242923471,bybit,154195.44,80.46
BTC,USDT,-0.0031856636071952993,binance,2327450.16,80.46
ETH,USDT,-0.003400557214911726,binance,154195.44,80.46
BTC,ETH,-0.003817675457884917,bybit,2327739.74,153951.06
USDT,ETH,-0.004009580597200579,bybit,80.44,153943.03
USDT,BTC,-0.004011981649998608,bybit,80.44,2324455.14
BTC,USDT,-0.004247486964499947,huobi,2327450.16,80.46
ETH,USDT,-0.004268289304936723,huobi,154195.44,80.46
BTC,ETH,-0.004524617672774234,binance,2327739.74,153951.06
USDT,ETH,-0.004728664815464412,binance,80.44,153943.03
USDT,BTC,-0.004737078365546155,binance,80.44,2324455.14
USDT,BTC,-0.00524639462127463,huobi,80.44,2324455.14
BTC,ETH,-0.00543100039521105,huobi,2327739.74,153951.06
USDT,ETH,-0.0056575049503936325,huobi,80.44,153943.03
